Name,Mid X,Mid Y,Layer,Rotation
Q5,527.05,468.57,Top,0
CONN3,479.16,512.48,Top,180
CONN4,478.27,487.91,Top,180
CONN5,478.8,456.91,Top,0
CONN6,478.48,480.4,Top,0
TB1,538.95,491.05,Top,270
J5,461.58,531.43,Top,270
J6,461.52,511.87,Top,270
J3,503.9,533.67,Top,180
C1,496.19,522.86,Top,0
C2,496.19,526.35,Top,0
C3,487.05,507.05,Top,0
C4,488,471.17,Top,0
C5,504.95,546.93,Top,0
C12,546.42,536.58,Top,0
C15,525.14,524.51,Top,0
C16,520.38,524.51,Top,0
C107,496.25,470.85,Top,180
C108,518.48,461.9,Top,0
C109,507.49,463.36,Top,0
C110,493.59,497.78,Top,180
C111,493.78,492.76,Top,180
C112,505.78,479.11,Top,0
C113,525.21,493.27,Top,0
C114,509.27,511.81,Top,0
C115,493.08,487.36,Top,180
C116,493.52,500.82,Top,0
C117,500.13,481.9,Top,180
C118,511.43,483.04,Top,180
C119,493.71,507.05,Top,0
C120,525.4,489.78,Top,180
C121,524,504.44,Top,0
C122,515.3,511.81,Top,0
C123,517.97,481.46,Top,180
C124,504.19,511.81,Top,0
C125,525.02,497.14,Top,0
C126,498.79,511.81,Top,180
T1,480.63,530.54,Top,90
J1,463.45,478.13,Top,180
J2,456.47,478.13,Top,180
J4,496.03,475.01,Top,0
IC5,522.92,517.52,Top,90
LED1,516.38,545.72,Top,270
LED2,527.05,472.95,Top,270
LED3,526.1,456.95,Top,270
LED4,526.1,452.37,Top,270
Q1,460.69,485.46,Top,0
Q2,454.34,485.46,Top,0
Q3,460.38,493.08,Top,180
Q4,454.34,493.08,Top,180
D2,457.52,498.16,Top,0
Y1,507.68,468.72,Top,0
IC3,504.95,542.8,Top,0
R1,491.43,519.37,Top,0
R2,491.43,522.86,Top,0
R3,491.43,526.35,Top,0
R4,491.43,529.84,Top,0
R5,491.43,533.34,Top,0
R6,491.43,536.83,Top,0
R7,491.43,540.32,Top,0
R8,469.58,498.73,Top,0
R9,469.58,495.43,Top,0
R10,468.63,468.31,Top,0
R11,468.63,464.82,Top,0
R12,477.84,507.75,Top,180
R13,476.69,496.51,Top,180
R14,476.57,472.76,Top,0
R15,476.88,461.33,Top,0
R16,477.84,504.25,Top,180
R17,476.69,492.82,Top,180
R18,476.57,476.25,Top,0
R19,476.88,464.82,Top,0
R20,511.81,545.72,Top,0
R21,525.46,486.41,Top,180
R22,496.25,467.36,Top,0
R23,500.06,478.54,Top,0
R24,526.86,482.98,Top,0
R25,531.81,456.95,Top,180
R26,531.81,452.37,Top,180
R27,488.31,487.68,Top,180
R28,488.31,483.87,Top,180
R29,488.63,476.25,Top,180
R30,488.38,480.06,Top,180
R31,527.05,476.19,Top,0
R35,517.97,478.03,Top,180
R44,510.22,475.62,Top,0
R45,510.22,479.11,Top,0
R46,502.16,466.92,Top,180
R47,502.16,470.41,Top,180
PS1,534.67,543.4,Top,0
D1,545.47,529.59,Top,270
IC6,518.16,467.36,Top,0
C6,522.61,545.47,Top,0
C7,522.61,540.38,Top,0
IC1,485.14,502.6,Top,0
IC2,486.09,466.73,Top,0
C8,534.67,532.13,Top,180
IC4,508.63,497.52,Top,0
